epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1919.17,0.64535,0.60388,1.07612,0.89305,0.84925,0.91476,0.71369,0.81747,0.62731,1.26471,0.000115634,0.000115634,0.000115634
75,1945.67,0.63299,0.60669,1.06295,0.87535,0.8583,0.9145,0.70608,0.82162,0.62584,1.26362,0.000111506,0.000111506,0.000111506
76,1970.88,0.63015,0.59637,1.05671,0.89403,0.8608,0.91941,0.71303,0.8115,0.61208,1.26521,0.000107378,0.000107378,0.000107378
77,1997.85,0.64873,0.59489,1.06991,0.89105,0.85508,0.92451,0.7128,0.82488,0.61234,1.26848,0.000103249,0.000103249,0.000103249
78,2023.6,0.61387,0.57602,1.05537,0.91562,0.85014,0.92767,0.7203,0.81977,0.60452,1.25477,9.91209e-05,9.91209e-05,9.91209e-05
79,2048.54,0.6238,0.5793,1.05997,0.88986,0.85673,0.92002,0.71574,0.81111,0.61106,1.26124,9.49926e-05,9.49926e-05,9.49926e-05
80,2073.47,0.63447,0.58636,1.06697,0.9073,0.85937,0.92872,0.71823,0.81851,0.59162,1.25984,9.08643e-05,9.08643e-05,9.08643e-05
81,2098.36,0.61907,0.56744,1.05714,0.89998,0.85493,0.92406,0.715,0.81967,0.60547,1.26422,8.6736e-05,8.6736e-05,8.6736e-05
82,2123.41,0.62221,0.57768,1.06354,0.89869,0.86179,0.92023,0.71603,0.80486,0.59881,1.2617,8.26077e-05,8.26077e-05,8.26077e-05
83,2149.13,0.60988,0.57335,1.05538,0.88721,0.8529,0.91928,0.71447,0.81636,0.61258,1.26347,7.84794e-05,7.84794e-05,7.84794e-05
84,2174.92,0.61167,0.57835,1.05724,0.88414,0.87064,0.91926,0.7144,0.81245,0.60664,1.26679,7.43511e-05,7.43511e-05,7.43511e-05
85,2201.27,0.61426,0.5621,1.05242,0.90801,0.85135,0.91928,0.71227,0.8195,0.60149,1.26996,7.02228e-05,7.02228e-05,7.02228e-05
86,2227.86,0.61822,0.58705,1.06754,0.89658,0.86226,0.92298,0.71451,0.81949,0.60595,1.27099,6.60945e-05,6.60945e-05,6.60945e-05
87,2253.32,0.59442,0.5583,1.046,0.8906,0.85775,0.92634,0.72048,0.81387,0.59614,1.2572,6.19662e-05,6.19662e-05,6.19662e-05
88,2278.86,0.59403,0.5548,1.04374,0.87396,0.8791,0.92485,0.71779,0.82023,0.59365,1.2697,5.78379e-05,5.78379e-05,5.78379e-05
89,2304.3,0.59509,0.53766,1.04475,0.88573,0.85817,0.92172,0.71493,0.82028,0.60958,1.27301,5.37096e-05,5.37096e-05,5.37096e-05
90,2329.97,0.59191,0.54037,1.04669,0.88181,0.86639,0.91968,0.71485,0.8167,0.60191,1.27233,4.95813e-05,4.95813e-05,4.95813e-05
91,2357.85,0.44658,0.33489,0.95456,0.88981,0.85228,0.91102,0.70276,0.81329,0.62253,1.29316,4.5453e-05,4.5453e-05,4.5453e-05
92,2384.18,0.42381,0.31387,0.94547,0.89296,0.86157,0.91589,0.71154,0.81303,0.60596,1.28337,4.13247e-05,4.13247e-05,4.13247e-05
93,2412.71,0.41783,0.28875,0.94113,0.88623,0.86854,0.91805,0.71153,0.81897,0.608,1.28344,3.71964e-05,3.71964e-05,3.71964e-05
94,2439.43,0.4051,0.28706,0.93086,0.8888,0.87047,0.91692,0.71443,0.81132,0.60642,1.28717,3.30681e-05,3.30681e-05,3.30681e-05
95,2465.87,0.40136,0.28128,0.92248,0.90258,0.86295,0.91881,0.71292,0.81308,0.60068,1.29188,2.89398e-05,2.89398e-05,2.89398e-05
96,2500.9,0.39741,0.28111,0.92981,0.90222,0.85428,0.91756,0.71318,0.81294,0.59979,1.28708,2.48115e-05,2.48115e-05,2.48115e-05
97,2532.28,0.39828,0.29268,0.93117,0.8812,0.8764,0.92225,0.71729,0.81067,0.59749,1.28366,2.06832e-05,2.06832e-05,2.06832e-05
98,2558.04,0.38904,0.27375,0.91229,0.89054,0.87138,0.92251,0.71965,0.80646,0.59923,1.28443,1.65549e-05,1.65549e-05,1.65549e-05
99,2583.52,0.39259,0.28739,0.91505,0.88536,0.87604,0.92229,0.71978,0.8014,0.59791,1.28305,1.24266e-05,1.24266e-05,1.24266e-05
100,2609.6,0.38315,0.26989,0.91871,0.9034,0.86222,0.92521,0.72151,0.80265,0.59401,1.28206,8.2983e-06,8.2983e-06,8.2983e-06
